"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"R3,R2,R4","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",3,"5k1",,,
2,"C5","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1,"4.7u",,,
3,"SW1","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",1,"PWR",,,
4,"C1,C2","C_0805_2012Metric",2,"4.7u",,,
5,"J1","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",1,"USB_C_Receptacle_USB2.0_14P",,,
6,"U2","SOT-23-5",1,"MCP73831-2-OT",,,
7,"R1","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",1,"1m",,,
8,"C4,C3","C_0805_2012Metric",2,"1u",,,
9,"U1","SOT-23-5",1,"S-T111B33MC-OGSTFU",,,
10,"R6,R5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",2,"100k",,,
11,"J2","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",1,"PH2.0mm 2P",,,
12,"J3","PinHeader_1x07_P2.54mm_Vertical",1,"Conn_01x07_Pin",,,
