Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_0805_2012Metric",84.670000,-100.345000,180.000000,top
"C2","4.7u","C_0805_2012Metric",81.245000,-97.395000,90.000000,top
"C3","1u","C_0805_2012Metric",77.852500,-85.542500,180.000000,top
"C4","1u","C_0805_2012Metric",75.905000,-94.745000,180.000000,top
"C5","1u","C_0805_2012Metric",72.505000,-91.895000,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",88.020000,-106.325000,0.000000,top
"J2","PH2.0mm 2P","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",78.245000,-98.345000,-90.000000,top
"J3","Conn_01x07_Pin","PinHeader_1x07_P2.54mm_Vertical",97.000000,-83.000000,-90.000000,top
"R1","5k1","R_0805_2012Metric",90.687500,-96.500000,0.000000,top
"R2","5k1","R_0805_2012Metric",90.687500,-98.600000,0.000000,top
"R3","5k1","R_0805_2012Metric",85.700000,-93.887500,-90.000000,top
"R4","100k","R_0805_2012Metric",80.927500,-90.392500,180.000000,top
"R5","100k","R_0805_2012Metric",84.627500,-90.392500,180.000000,top
"SW1","PWR","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",74.770000,-107.145000,0.000000,top
"U1","MCP73831-2-OT","SOT-23-5",84.482500,-97.395000,0.000000,top
"U2","LW5233A23E","SOT-23-5",75.762500,-91.940000,180.000000,top
"U3","HX809T-3.08V","SOT-23",77.840000,-88.392500,0.000000,top
