Designator,Mid X,Mid Y,Layer,Rotation
C1,84.670000 mm,-100.345000 mm,top,180
C2,81.245000 mm,-97.395000 mm,top,90
C3,77.852500 mm,-85.542500 mm,top,180
C4,75.905000 mm,-94.745000 mm,top,180
C5,72.505000 mm,-91.895000 mm,top,90
J1,88.020000 mm,-106.325000 mm,top,0
J2,78.245000 mm,-98.345000 mm,top,-90
R1,90.687500 mm,-96.500000 mm,top,0
R2,90.687500 mm,-98.600000 mm,top,0
R3,85.700000 mm,-93.887500 mm,top,-90
R4,80.927500 mm,-90.392500 mm,top,180
R5,84.627500 mm,-90.392500 mm,top,180
SW1,74.770000 mm,-107.145000 mm,top,0
U1,84.482500 mm,-97.395000 mm,top,0
U2,75.762500 mm,-91.940000 mm,top,180
U3,77.840000 mm,-88.392500 mm,top,0
,,,,
